Station,Heure_requete,Jour,Date,Heure,Temperature,Temperature_precedente,Variation_temperature,Chute_temperature,Probabilite_pluie,Type_precipitation,Pluie_mm,Pluie_sup_50
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,04:00,20,20,0,NON,79,rain,2.1,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,05:00,20,20,0,NON,75,rain,3.0,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,06:00,20,20,0,NON,74,rain,1.9,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,07:00,19,20,-1,NON,75,rain,1.4,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,08:00,20,19,1,NON,77,rain,1.3,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,09:00,20,20,0,NON,75,rain,1.5,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,10:00,20,20,0,NON,77,rain,1.0,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,11:00,21,20,1,NON,69,rain,0.7,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,12:00,21,21,0,NON,52,rain,0.4,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,13:00,21,21,0,NON,55,rain,0.4,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,15:00,21,21,0,NON,60,rain,0.4,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,16:00,21,21,0,NON,67,rain,0.4,OUI
Tokyo,2026-09-09 08:01:07,J+2,2026-09-11,17:00,21,21,0,NON,61,rain,0.3,OUI
Miami,2026-09-09 08:01:07,J+0,2026-09-09,10:00,85,84,1,NON,51,rain,0.15,OUI
Miami,2026-09-09 08:01:07,J+0,2026-09-09,13:00,85,86,-1,NON,51,rain,0.06,OUI
Miami,2026-09-09 08:01:07,J+2,2026-09-11,09:00,84,82,2,NON,56,rain,0.02,OUI
Miami,2026-09-09 08:01:07,J+2,2026-09-11,10:00,85,84,1,NON,57,rain,0.17,OUI
Miami,2026-09-09 08:01:07,J+2,2026-09-11,11:00,86,85,1,NON,57,rain,0.03,OUI
Chicago,2026-09-09 08:01:07,J+0,2026-09-09,04:00,75,76,-1,NON,100,rain,0.14,OUI
Chicago,2026-09-09 08:01:07,J+0,2026-09-09,06:00,73,74,-1,NON,74,rain,0.03,OUI
Chicago,2026-09-09 08:01:07,J+0,2026-09-09,07:00,72,73,-1,NON,99,rain,0.12,OUI
Chicago,2026-09-09 08:01:07,J+0,2026-09-09,08:00,72,72,0,NON,87,rain,0.16,OUI
Chicago,2026-09-09 08:01:07,J+0,2026-09-09,09:00,73,72,1,NON,71,rain,0.04,OUI
Houston,2026-09-09 08:01:07,J+0,2026-09-09,12:00,87,87,0,NON,51,rain,0.07,OUI
Houston,2026-09-09 08:01:07,J+2,2026-09-11,15:00,91,90,1,NON,69,rain,0.02,OUI
