Station,Heure_requete,Jour,Date,Tmin,Tmax
Seoul,2026-08-08 19:02:20,J+1,2026-08-09,24,32
Seoul,2026-08-08 19:02:20,J+2,2026-08-10,25,31
New York,2026-08-08 19:02:20,J+0,2026-08-08,28,33
New York,2026-08-08 19:02:20,J+1,2026-08-09,26,33
New York,2026-08-08 19:02:20,J+2,2026-08-10,24,32
Miami,2026-08-08 19:02:20,J+0,2026-08-08,29,32
Miami,2026-08-08 19:02:20,J+1,2026-08-09,28,32
Miami,2026-08-08 19:02:20,J+2,2026-08-10,29,33
Paris,2026-08-08 19:38:20,J+0,2026-08-08,24,26
Paris,2026-08-08 19:38:20,J+1,2026-08-09,18,33
Paris,2026-08-08 19:38:20,J+2,2026-08-10,18,32
Londres,2026-08-08 19:38:20,J+0,2026-08-08,22,24
Londres,2026-08-08 19:38:20,J+1,2026-08-09,18,31
Londres,2026-08-08 19:38:20,J+2,2026-08-10,19,27
Tokyo,2026-08-08 19:38:20,J+1,2026-08-09,26,32
Tokyo,2026-08-08 19:38:20,J+2,2026-08-10,25,31
Seoul,2026-08-08 19:38:20,J+1,2026-08-09,24,32
Seoul,2026-08-08 19:38:20,J+2,2026-08-10,25,31
New York,2026-08-08 19:38:20,J+0,2026-08-08,25,31
New York,2026-08-08 19:38:20,J+1,2026-08-09,26,33
New York,2026-08-08 19:38:20,J+2,2026-08-10,24,32
Miami,2026-08-08 19:38:20,J+0,2026-08-08,29,33
Miami,2026-08-08 19:38:20,J+1,2026-08-09,29,32
Miami,2026-08-08 19:38:20,J+2,2026-08-10,29,33
Paris,2026-08-08 20:00:45,J+0,2026-08-08,24,26
Paris,2026-08-08 20:00:45,J+1,2026-08-09,18,33
Paris,2026-08-08 20:00:45,J+2,2026-08-10,18,32
Londres,2026-08-08 20:00:45,J+0,2026-08-08,22,23
Londres,2026-08-08 20:00:45,J+1,2026-08-09,18,31
Londres,2026-08-08 20:00:45,J+2,2026-08-10,19,27
Tokyo,2026-08-08 20:00:45,J+1,2026-08-09,26,32
Tokyo,2026-08-08 20:00:45,J+2,2026-08-10,25,31
Seoul,2026-08-08 20:00:45,J+1,2026-08-09,24,32
Seoul,2026-08-08 20:00:45,J+2,2026-08-10,25,32
New York,2026-08-08 20:00:45,J+0,2026-08-08,25,31
New York,2026-08-08 20:00:45,J+1,2026-08-09,26,33
New York,2026-08-08 20:00:45,J+2,2026-08-10,24,32
Miami,2026-08-08 20:00:45,J+0,2026-08-08,29,33
Miami,2026-08-08 20:00:45,J+1,2026-08-09,28,32
Miami,2026-08-08 20:00:45,J+2,2026-08-10,29,33
Paris,2026-08-08 20:01:15,J+0,2026-08-08,24,26
Paris,2026-08-08 20:01:15,J+1,2026-08-09,18,33
Paris,2026-08-08 20:01:15,J+2,2026-08-10,18,32
Londres,2026-08-08 20:01:15,J+0,2026-08-08,22,23
Londres,2026-08-08 20:01:15,J+1,2026-08-09,18,31
Londres,2026-08-08 20:01:15,J+2,2026-08-10,19,27
Tokyo,2026-08-08 20:01:15,J+1,2026-08-09,26,32
Tokyo,2026-08-08 20:01:15,J+2,2026-08-10,25,31
Seoul,2026-08-08 20:01:15,J+1,2026-08-09,24,32
Seoul,2026-08-08 20:01:15,J+2,2026-08-10,25,31
New York,2026-08-08 20:01:15,J+0,2026-08-08,25,30
New York,2026-08-08 20:01:15,J+1,2026-08-09,26,33
New York,2026-08-08 20:01:15,J+2,2026-08-10,24,32
Miami,2026-08-08 20:01:15,J+0,2026-08-08,29,33
Miami,2026-08-08 20:01:15,J+1,2026-08-09,29,32
Miami,2026-08-08 20:01:15,J+2,2026-08-10,29,33
Paris,2026-08-08 20:40:26,J+0,2026-08-08,24,24
Paris,2026-08-08 20:40:26,J+1,2026-08-09,18,33
Paris,2026-08-08 20:40:26,J+2,2026-08-10,18,32
Londres,2026-08-08 20:40:26,J+0,2026-08-08,22,23
Londres,2026-08-08 20:40:26,J+1,2026-08-09,18,31
Londres,2026-08-08 20:40:26,J+2,2026-08-10,19,27
Tokyo,2026-08-08 20:40:26,J+1,2026-08-09,26,32
Tokyo,2026-08-08 20:40:26,J+2,2026-08-10,25,31
Seoul,2026-08-08 20:40:26,J+1,2026-08-09,24,33
Seoul,2026-08-08 20:40:26,J+2,2026-08-10,25,32
New York,2026-08-08 20:40:26,J+0,2026-08-08,26,29
New York,2026-08-08 20:40:26,J+1,2026-08-09,26,33
New York,2026-08-08 20:40:26,J+2,2026-08-10,24,32
Miami,2026-08-08 20:40:26,J+0,2026-08-08,29,33
Miami,2026-08-08 20:40:26,J+1,2026-08-09,28,32
Miami,2026-08-08 20:40:26,J+2,2026-08-10,29,33
Paris,2026-08-08 21:01:12,J+0,2026-08-08,24,24
Paris,2026-08-08 21:01:12,J+1,2026-08-09,18,33
Paris,2026-08-08 21:01:12,J+2,2026-08-10,18,32
Londres,2026-08-08 21:01:12,J+0,2026-08-08,21,21
Londres,2026-08-08 21:01:12,J+1,2026-08-09,18,31
Londres,2026-08-08 21:01:12,J+2,2026-08-10,19,27
Tokyo,2026-08-08 21:01:12,J+1,2026-08-09,26,32
Tokyo,2026-08-08 21:01:12,J+2,2026-08-10,25,31
Seoul,2026-08-08 21:01:12,J+1,2026-08-09,25,32
Seoul,2026-08-08 21:01:12,J+2,2026-08-10,25,32
New York,2026-08-08 21:01:12,J+0,2026-08-08,26,29
New York,2026-08-08 21:01:12,J+1,2026-08-09,26,33
New York,2026-08-08 21:01:12,J+2,2026-08-10,24,32
Miami,2026-08-08 21:01:12,J+0,2026-08-08,29,32
Miami,2026-08-08 21:01:12,J+1,2026-08-09,28,32
Miami,2026-08-08 21:01:12,J+2,2026-08-10,29,33
Paris,2026-08-08 21:05:09,J+1,2026-08-09,18,33
Paris,2026-08-08 21:05:09,J+2,2026-08-10,18,32
Londres,2026-08-08 21:05:09,J+0,2026-08-08,21,21
Londres,2026-08-08 21:05:09,J+1,2026-08-09,18,31
Londres,2026-08-08 21:05:09,J+2,2026-08-10,19,27
Tokyo,2026-08-08 21:05:09,J+1,2026-08-09,26,32
Tokyo,2026-08-08 21:05:09,J+2,2026-08-10,25,31
Seoul,2026-08-08 21:05:09,J+1,2026-08-09,25,32
Seoul,2026-08-08 21:05:09,J+2,2026-08-10,25,32
New York,2026-08-08 21:05:09,J+0,2026-08-08,26,29
New York,2026-08-08 21:05:09,J+1,2026-08-09,26,33
New York,2026-08-08 21:05:09,J+2,2026-08-10,24,32
Miami,2026-08-08 21:05:09,J+0,2026-08-08,29,32
Miami,2026-08-08 21:05:09,J+1,2026-08-09,28,32
Miami,2026-08-08 21:05:09,J+2,2026-08-10,29,33
